date,Rented Housing,Owned Housing,Health Insurance (Net),Purchased Meals,Goodwill Medical Services,Physician Services,Goodwill Services,Prescription Drugs,New Light Trucks,Gasoline/Fuel
2020-02-01T00:00:00Z,100,100,100,100,100,100,100,100,100,100
2020-03-01T00:00:00Z,100.29844546832100,100.23201116204900,100.2052343379470,100.19870594804100,100.188515462652,99.94343505271270,99.75782900828610,99.6893669825043,99.6721748908838,91.24937524483650
2020-04-01T00:00:00Z,100.52151038021000,100.41538768188200,100.373388522399,100.53289322429100,100.71197467755100,100.04193608161000,98.65618841852850,99.66717890982600,99.69790535002960,72.56750732820920
2020-05-01T00:00:00Z,100.75842070042400,100.65935818218100,100.4035700426850,101.0042040266690,101.24420205350300,100.4086329812650,98.31113432575960,99.5850008628695,99.87611260411310,69.72943035837310
2020-06-01T00:00:00Z,100.90379748782800,100.75264102053000,100.69676195403800,101.61017505829800,101.57388490911800,100.51786184499300,98.41085179293590,99.61047605742600,99.7236358091753,77.37778438179630
2020-07-01T00:00:00Z,101.11147861269000,100.96073350607900,100.59931875997100,102.11597201694700,101.9833580303200,100.59978349278800,99.47450477615010,99.62691166681730,100.1543827548750,81.13171865079900
2020-08-01T00:00:00Z,101.22070350058100,101.1114211680290,100.5484413400600,102.37626038690200,102.55328849880300,100.82116699337800,99.38428421060960,99.75839654194780,100.16295957459000,82.70137378594880
2020-09-01T00:00:00Z,101.32992838847100,101.21506876619500,100.43806320872700,103.0109698820900,102.64798463818200,101.00061441235800,100.33872282501200,98.95798236459110,100.36880324775600,84.0305826095179
2020-10-01T00:00:00Z,101.47607436522600,101.41678293801100,100.51394817401800,103.34433605938200,102.71549947829400,101.04937729795100,99.58213632802300,98.52490405713020,100.81575085291700,83.4726931337719
2020-11-01T00:00:00Z,101.53914789203700,101.47498505082700,100.7726469193290,103.61858311163700,102.89436996378700,101.09911544125500,99.66048576651870,98.24878581935620,100.88436541063900,82.57844898620810
2020-12-01T00:00:00Z,101.64837277992700,101.6336456049430,100.89595998792700,104.06361874733100,103.04518233390900,101.02597111286700,103.24160909170100,98.0762119207475,101.45615339165600,88.45857704413140
2021-01-01T00:00:00Z,101.77528902289900,101.77875224237600,100.15435691803600,104.57352120077500,103.42309007531900,103.13057725504000,102.12968019183700,98.11154848093880,101.19027198048300,93.5457726026287
2021-02-01T00:00:00Z,101.95681770981600,102.02112816424200,100.24835079549900,104.90360298223100,104.38758779121300,103.61040404927000,101.54641214970300,97.32674813250390,101.27985209750900,101.24680868308400
2021-03-01T00:00:00Z,102.12373179905700,102.23639625274100,100.31819945673300,105.30265707623100,104.63221948460700,103.6972019856250,102.85302753310100,97.35386688799950,101.39516267368100,111.57924597117300
2021-04-01T00:00:00Z,102.32910535586500,102.45644807654000,100.38718578881600,105.67297270667100,104.62257450744900,103.92541229019800,104.96450533013600,97.82063819471270,101.99839899365300,108.11573842683300
2021-05-01T00:00:00Z,102.58755297791700,102.77058002790500,100.66571810460100,106.2132558215920,104.74971284272500,103.92833806333300,105.73217154570000,97.49192600688650,103.5174490632210,108.65336557295100
2021-06-01T00:00:00Z,102.83600113840000,103.10544149890400,100.69676195403800,106.9489604887180,104.48754482722300,104.06682465841600,107.11792777606300,97.07117440646910,105.36908914174600,112.28977833011400
2021-07-01T00:00:00Z,103.04137469520900,103.40920869045200,100.82352433924000,107.80947219758900,104.83651763715600,104.18970713010900,107.919624555822,97.08925357679950,106.90719881068100,115.04410433748900
2021-08-01T00:00:00Z,103.3805871991510,103.69224636236800,100.90113396283400,108.56816763556300,104.97505458180300,104.29113393214200,109.3679020552880,97.0465209923821,108.16132044904400,117.94431911818300
2021-09-01T00:00:00Z,103.7990262062810,104.14670121586600,100.52343379467900,109.23407889118800,105.1732150216140,104.73877722188100,111.2664909739860,97.37852030208650,109.55838908266100,119.23975739237300
2021-10-01T00:00:00Z,104.21515764535800,104.5915885987640,100.62950028025700,110.15370972509600,104.96190234022200,104.95430917620000,111.73817042190000,97.81817285330400,111.05266167305200,124.76732091477700
2021-11-01T00:00:00Z,104.63744259924500,105.05800279051200,100.79851679386000,110.95428120997100,105.16532367666500,105.27809473653400,114.59752922275800,97.93897458233010,112.18861379533800,130.17060881546400
2021-12-01T00:00:00Z,105.03665187259100,105.48534981064400,101.2486526107020,111.7515682990110,105.51868056712500,105.36781844602400,116.71138124520200,98.07703370121710,113.25690433987100,132.01988409947500
2022-01-01T00:00:00Z,105.60815956063900,105.93262906119200,101.7479411891520,112.51354813282100,106.59979482503100,104.60516691535700,115.54405375246300,99.34586274622600,113.4837135723410,130.97569871266700
2022-02-01T00:00:00Z,106.20581968663200,106.40781343432300,101.56598973828300,113.01852399251200,106.72693316030800,104.48618547451200,115.32562501483900,99.63512947151300,113.80867974155200,139.78575963473800
2022-03-01T00:00:00Z,106.6634873506810,106.87024117998800,101.67636786961600,113.2993398364370,106.89177458811600,104.4179174346820,116.0094019326200,99.47241693853900,114.01928831456000,165.31359332153600
2022-04-01T00:00:00Z,107.25960909797200,107.35738489136900,101.79105764670400,113.95539790455500,106.61820796324400,104.32916898290400,118.07181240453600,99.52008020577380,115.02754112108600,155.71195072201400
2022-05-01T00:00:00Z,107.93880329520700,108.00637831373300,102.04803173371300,114.78717114986700,107.08730457961100,104.33989681773400,118.13433367363900,99.3738032821912,116.12918596451100,162.0527090734710
2022-06-01T00:00:00Z,108.77721968817100,108.76141120191300,102.19462768938900,115.6345452753970,107.95622934002100,104.49203702078300,118.29419818450900,99.46009023149560,117.02403415480200,179.91597887314400
