measure,Date,Value
99th Percentile,2021-09,41.90753875145626
Average,2021-09,4.235725339807784
1st Percentile,2021-10,-19.841675561479654
25th Percentile,2021-10,1.8063684439136882
Median,2021-10,3.9539044422511065
75th Percentile,2021-10,6.916522675772931
99th Percentile,2021-10,38.92722737577363
Average,2021-10,4.696260645911628
1st Percentile,2021-11,-11.585014145134972
25th Percentile,2021-11,2.074778182882249
Median,2021-11,4.081477860962045
75th Percentile,2021-11,7.1632565994840025
99th Percentile,2021-11,36.807190550048766
Average,2021-11,5.257038682375271
1st Percentile,2021-12,-8.610407522319047
25th Percentile,2021-12,2.205131176091231
Median,2021-12,4.617483553908633
75th Percentile,2021-12,7.406614560403109
99th Percentile,2021-12,36.51578199388217
Average,2021-12,5.695449164336621
1st Percentile,2022-01,-7.1757553961421525
25th Percentile,2022-01,2.395508950410981
Median,2022-01,4.853258823077845
75th Percentile,2022-01,7.8641507329139895
99th Percentile,2022-01,40.013096114294655
Average,2022-01,5.9255347311493765
1st Percentile,2022-02,-7.8454419494766405
25th Percentile,2022-02,2.2774119440821563
Median,2022-02,4.921047462100295
75th Percentile,2022-02,8.107592927423326
99th Percentile,2022-02,40.43500592366947
Average,2022-02,6.023777155141155
1st Percentile,2022-03,-20.200167344304425
25th Percentile,2022-03,2.4170132914878644
Median,2022-03,4.785129055476883
75th Percentile,2022-03,8.727415942738535
99th Percentile,2022-03,35.88374591758844
Average,2022-03,6.431575074160975
1st Percentile,2022-04,-11.46419827991513
25th Percentile,2022-04,2.1120614826999518
Median,2022-04,4.817886956466304
75th Percentile,2022-04,9.07681782604432
99th Percentile,2022-04,32.09928631158145
Average,2022-04,6.228388142851763
1st Percentile,2022-05,-13.242528328566245
25th Percentile,2022-05,2.2857728303862883
Median,2022-05,4.7935724568762526
75th Percentile,2022-05,9.017114454931122
99th Percentile,2022-05,33.933776129860696
Average,2022-05,6.409564897124135
1st Percentile,2022-06,-12.97964221996245
25th Percentile,2022-06,2.8025310103675984
Median,2022-06,5.563822444103403
75th Percentile,2022-06,8.96062635678981
99th Percentile,2022-06,38.62050487599466
Average,2022-06,6.502498018073062
1st Percentile,2022-07,-13.905794834581581
25th Percentile,2022-07,2.6579171064838514
Median,2022-07,5.753256343658873
75th Percentile,2022-07,8.885560255488256
99th Percentile,2022-07,38.0831208075743
Average,2022-07,6.068182894010539
1st Percentile,2022-08,-13.821102492247508
25th Percentile,2022-08,2.856215620940376
Median,2022-08,5.531005562256273
75th Percentile,2022-08,9.017060702355753
99th Percentile,2022-08,36.794162529267446
Average,2022-08,6.324900299458715
1st Percentile,2022-09,-16.66081696064979
25th Percentile,2022-09,2.818284280415711
Median,2022-09,5.687039849713114
75th Percentile,2022-09,10.035316766433343
99th Percentile,2022-09,36.69587383962391
Average,2022-09,6.7589233160906845
